,loss,accuracy,precision,recall,f1,model,pretraining,n_iter
0,3.5792733702149944,0.9706480674166194,0.9432789432716141,0.9774557165782815,0.9600632661054959,Large Model,1000,1
1,0.08672509042221721,0.9755884917118537,0.953051643185031,0.9806763284945196,0.9666666666589948,Large Model,1000,2
2,0.012769053781326756,0.9732635861611552,0.9492187499925843,0.9782608695573409,0.963521015059766,Large Model,1000,3
3,0.00289583204993199,0.972101133385806,0.9476562499925966,0.9766505635992219,0.9619349722366223,Large Model,1000,4
4,0.000826839344735264,0.9715199069981313,0.9454828660362502,0.9774557165782815,0.9612034837611941,Large Model,1000,5
0,4.077570467315541,0.9662888695090597,0.9371118012349604,0.9718196457248647,0.9541501976209159,Large Model,500,1
1,0.10642173464828797,0.9706480674166194,0.9453551912494509,0.9750402576411028,0.9599682917086013,Large Model,500,2
2,0.023609594535388745,0.9726823597734805,0.9505494505419895,0.9750402576411028,0.9626391096902812,Large Model,500,3
3,0.002930705910199005,0.9723917465796432,0.951219512187638,0.9734299516829837,0.9621965777878059,Large Model,500,4
4,0.0011075195631152779,0.9729729729673179,0.9498825371891161,0.9766505635992219,0.9630805875270895,Large Model,500,5
0,4.71769270712095,0.9654170299275477,0.9369649805374556,0.969404186787686,0.952908587250076,Large Model,200,1
1,0.09472442001018266,0.971229293804294,0.947533281120223,0.9742351046620433,0.9606986899487043,Large Model,200,2
2,0.01774112995248306,0.9729729729673179,0.9512961508173504,0.9750402576411028,0.963021868779618,Large Model,200,3
3,0.003352073029348701,0.9709386806104566,0.9503154574057547,0.9702093397667456,0.9601593625421503,Large Model,200,4
4,0.001400132481812033,0.9680325486720835,0.9442700156911753,0.9685990338086266,0.9562798092133842,Large Model,200,5
0,4.923248918637517,0.9645451903460358,0.9294478527536086,0.9758454106201624,0.9520816967717826,Blank Model,50,1
1,0.11847129652822452,0.9700668410289447,0.9431906614712593,0.9758454106201624,0.9592402057700101,Blank Model,50,2
2,0.017995459838439753,0.9735541993549924,0.9527930763103636,0.9750402576411028,0.9637883008279842,Blank Model,50,3
3,0.0032944672134028324,0.9709386806104566,0.9481946624729342,0.9726247987039242,0.9602543720114447,Blank Model,50,4
4,0.0011996640207083686,0.9700668410289447,0.9459671104076276,0.9726247987039242,0.9591107582297809,Blank Model,50,5
