shopping
"- Great driving experience in Chiang Rai to traditional villages. 
- Safe, with great support from their mechanics throughout the journey.
- Nice tour guide and team leader Kitt Tiger brought us this happy experience.
- Surely you will get more than what you pay..."
"- This is the best custom design tailor in khao lak.Free pick up from hotel, easy and fast preparation of dresses.
Easy and convenient payment through master card.
Super cheap and high quality 
Highly recommended"
"- Tons of brands
- At least 40% discount on most items.. I could even get branded shirts for a steep 80% discount
- About 40 mins drive from Nong Thale (Dusit Thani Beach Resort) - closer to the airport
- Budget for 2-3 hours..."
"!! BEWARE SCAM ALERT - DO NOT GO HERE !!
This place needs to be shut down.

Similar to all the other reviews on here our story goes like this....
- super friendly fake uni student told us that Wat Pho was closed until 3pm..."
"!!! Never go there a few days before your flight goes and never trust their words of ""super-fast and perfect, ... long-term business ..."" !!!
Just long-term is not a lie: because I'm still waiting for my paid order to get ready!
At first, they..."
... but may be one of the best tailors in Bangkok. I have used them (and others) for years and put quite a shilling there. The quality of the work has always been to high standards and a few special garments they made for me...
"... to quote an old JH-classic. Well, Michael (""Michi"") certainly is! 

He and his charming girlfriend Wan run this great dive shop near Bang Niang Beach. He has been a Dive Instructor in Khao Lak now for more than 16 years. Michael makes things happen...."
"CentralPlaza Pinklao ,Office Mate so good"
...you are woken up by the smell of a freshly brewed coffee. What a start into a new promising day! The booking was handled extremely professionally and our expectations to this exclusive journey was more than met. It started with a perfectly organized pick up...
"..One the one side I really want to prevent Kho Tao of getting flooded by tourists (like so many other Thai islands) on the other side I really, really loved my stay here and I can only recommend diving with Buddha View. 

We were a..."
"'A' was my guide and he really made what could have been a rather dull trip for a solo traveler fun and memorable. He shared his humor, friendship and knowledge without reserve and with so much enthusiasm. 
  Althoughh the activities were pretty easy, they left..."
"'Random' People on the street that seem very kind and genuine will set you up with a tuk-tuk driver to this special tour, with once-a-year opportunities. DO NOT FALL FOR THIS. They just want you to get to this store to pressure you in buying..."
"""ACDC Diving"" is a great diving school. They gave me a new, amazing underwater world. Experienced instructors, who help you at all stages of knowledge of the underwater world and show you amazing, not seen before places. Thank you very much for the new chapter..."
"""Art Grow 04""
It's very OK. There are a lot of tourists coming to this event. It's a job that the line should not be art. There are a lot of concerts and art pictures. This event is held at the jamfactory. Today is the..."
"""I was working at Thong Lo during my time in Bangkok and I would pass by this store everyday. Decided to give them a try as my wardrobe could use new shirts and trousers. Had 2 shirts and 2 trousers made during my first visit..."
"""Must compliment our Phang Nga Bay and James Bond Island trip with Private Sunrise Sea Canoe Program.  Very professional and well organised team. They picked us from our hotel, drove to Phang Nga with a fun group. We boarded a large longtail speed boat and..."
